DOE_SCHOOL_CODE	SCHOOL_NAME	RFS_BUSHFIRE_CATEGORY
8121	Hurlstone Agricultural High School	Category 1
8123	Kempsey High School	Buffer
8123	Kempsey High School	Category 1
8124	The Rivers Secondary College Lismore High Campus	Category 1
8125	Lithgow High School	Category 1
8129	Murwillumbah High School	Category 1
8140	Taree High School	Buffer
8142	Wagga Wagga High School	Category 1
8144	Yanco Agricultural High School	Category 2
8150	Katoomba High School	Category 1
8157	Narrandera High School	Category 1
8162	Macksville High School	Category 1
8166	Wyong High School	Category 1
8177	Kurri Kurri High School	Category 1
8177	Kurri Kurri High School	Category 2
8204	Dapto High School	Category 1
8210	Lake Macquarie High School	Buffer
8214	The Rivers Sec College Richmond River High Campus	Category 2
8215	Picton High School	Buffer
8222	Asquith Girls High School	Category 1
8233	Hunter Sports High School	Category 2
8259	Callaghan College Wallsend Campus	Category 2
8271	Lucas Heights Community School	Category 1
8272	Coffs Harbour Senior College	Category 1
8274	Tuggerah Lakes Secondary College Tumbi Umbi	Category 1
8278	Wadalba Community School	Category 1
8279	Lake Munmorah High School	Category 1
8280	Camden Haven High School	Category 1
8281	Great Lakes College Senior Campus	Category 1
8289	Great Lakes College Tuncurry Campus	Category 1
8291	Rouse Hill High School	Category 1
8292	Kariong Mountains High School	Buffer
8343	Tumut High School	Category 1
8347	Coonabarabran High School	Category 1
8358	Tenterfield High School	Category 2
8358	Tenterfield High School	Category 2
8370	Tweed River High School	Buffer
8372	The Forest High School	Buffer
8373	Five Islands Secondary College	Category 1
8389	Swansea High School	Category 1
8390	Whitebridge High School	Category 1
8391	Wingham High School	Buffer
8391	Wingham High School	Category 1
8391	Wingham High School	Category 1
8391	Wingham High School	Category 1
8394	Miller High School	Buffer
8396	Windsor High School	Buffer
8397	Ashcroft High School	Category 1
8400	St Ives High School	Buffer
8405	Erina High School	Category 1
8409	Scone High School	Buffer
8411	West Wallsend High School	Buffer
8413	Morisset High School	Category 1
8415	Ryde Secondary College	Category 1
8416	Ku-ring-gai High School	Category 1
8423	Kotara High School	Category 1
8432	Engadine High School	Category 2
8435	Turramurra High School	Category 1
8438	Pennant Hills High School	Category 1
8440	Warners Bay High School	Category 2
8446	Springwood High School	Category 1
8448	Bomaderry High School	Category 2
8449	Figtree High School	Category 1
8450	Tumbarumba High School	Category 1
8454	Barrenjoey High School	Buffer
8457	Killara High School	Buffer
8458	Kingswood High School	Category 1
8465	Tuggerah Lakes Secondary College The Entrance	Category 1
8466	Glendale High School	Category 1
8467	Henry Kendall High School	Buffer
8469	Orara High School	Buffer
8473	Chifley College Senior Campus	Buffer
8479	Davidson High School	Category 2
8481	Galston High School	Category 1
8487	Eden Marine High School	Category 1
8488	Chifley College Dunheved Campus	Category 1
8494	Coomealla High School	Category 2
8498	Muirfield High School	Buffer
8502	Tomaree High School	Category 1
8513	Brisbane Water Secondary College Umina Campus	Category 1
8515	Gorokan High School	Category 1
8519	Warialda High School	Category 1
8519	Warialda High School	Category 1
8520	The Rivers Secondary College Kadina High Campus	Category 1
8522	Blaxland High School	Category 1
8526	Colo High School	Category 1
8527	Toormina High School	Category 1
8533	Terrigal High School	Category 1
8534	Great Lakes College Forster Campus	Buffer
8536	Narooma High School	Category 1
8544	Lisarow High School	Category 1
8547	Northlakes High School	Category 1
8548	Woolgoolga High School	Category 1
8548	Woolgoolga High School	Category 2
8554	Hastings Secondary College Westport Campus	Category 2
8562	Irrawang High School	Category 1
8563	Tuggerah Lakes Secondary College Berkeley Vale	Category 1
8565	Hawkesbury High School	Category 1
8566	Melville High School	Category 1
8567	Northern Beaches Secondary College Manly Campus	Category 2
8573	Winmalee High School	Category 1
8577	Byron Bay High School	Category 1
8578	Alstonville High School	Category 1
8579	Kingscliff High School	Category 1
8581	Batemans Bay High School	Category 1
8583	Menai High School	Buffer
8585	Kincumber High School	Category 1
8591	Narara Valley High School	Buffer
8593	Vincentia High School	Category 1
8595	Nambucca Heads High School	Category 1
8596	Wollumbin High School	Category 1
8598	Oberon High School	Category 1
8598	Oberon High School	Category 1
8852	The Jannali High School	Buffer
8884	Epping Boys High School	Category 2
8903	Cardiff High School	Category 1
8909	Toronto High School	Category 1
8911	The Ponds High School	Category 1
